lat,lon,sst
9.7708,-138.5625,26.3250
9.7708,-138.5208,26.0850
9.7708,-138.4792,26.1650
9.7708,-138.4375,26.5050
9.7708,-138.3958,26.5650
9.7708,-138.3542,26.5050
9.7708,-138.3125,26.5050
9.7708,-138.2708,26.4550
9.7708,-138.2292,26.5050
9.7708,-138.1875,26.5550
9.7708,-138.1458,26.4450
9.7708,-138.1042,26.5150
9.7708,-138.0625,26.6500
9.7708,-138.0208,26.5750
9.7708,-137.9792,26.5300
9.7708,-137.9375,26.5550
9.7708,-137.8958,26.4650
9.7708,-137.8542,26.4100
9.7708,-137.8125,26.4750
9.7708,-137.7292,26.9450
9.7708,-137.6875,26.9100
9.7708,-137.6458,26.7800
9.7708,-136.1875,26.4150
9.7708,-136.1458,26.3500
9.7708,-136.1042,26.2850
9.7708,-136.0625,26.2550
9.7708,-136.0208,26.2300
9.7708,-135.9792,26.2450
9.7708,-135.9375,25.7800
9.7708,-135.8542,26.0650
9.7708,-135.8125,26.0650
9.7708,-135.7708,26.6450
9.7708,-135.7292,26.6450
9.7708,-135.6875,26.1000
9.7708,-122.2292,27.9650
9.7708,-122.1875,27.7350
9.7708,-122.1458,27.7100
9.7708,-122.1042,27.7100
9.7708,-121.8125,27.2500
9.7708,-121.7708,27.5500
9.7708,-121.7292,27.7850
9.7708,-121.6875,27.9900
9.7708,-121.6458,28.1400
9.7708,-121.6042,28.1250
9.7708,-121.5625,27.9600
9.7708,-121.5208,27.9050
9.7708,-121.4375,28.0850
9.7708,-121.3958,27.8600
9.7708,-121.3542,27.6300
9.7708,-121.3125,27.7200
9.7708,-121.2708,27.9350
9.7708,-121.2292,28.0800
9.7708,-121.1875,28.1900
9.7708,-121.1458,28.0900
9.7708,-121.1042,27.9800
9.7708,-121.0625,27.9950
9.7708,-120.4375,26.3850
9.7708,-120.3958,26.4050
9.7708,-120.3542,26.5000
9.7708,-120.3125,26.8300
9.7708,-120.2708,27.1350
9.7708,-120.2292,27.1250
9.7708,-120.1875,27.6100
9.7292,-139.9792,25.6150
9.7292,-139.8958,26.4600
9.7292,-139.8542,26.4750
9.7292,-139.8125,26.5650
9.7292,-139.7708,26.6000
9.7292,-139.7292,26.6050
9.7292,-139.6875,26.1650
9.7292,-139.6458,26.5750
9.7292,-139.6042,26.4450
9.7292,-139.5625,26.3800
9.7292,-139.5208,26.6950
9.7292,-139.4792,26.6200
9.7292,-139.4375,26.5650
9.7292,-139.3958,25.9400
9.7292,-139.3542,26.2150
9.7292,-139.3125,25.6100
9.7292,-139.2708,25.6050
9.7292,-139.1875,26.4800
9.7292,-139.1458,26.8750
9.7292,-139.1042,26.9150
9.7292,-139.0625,25.9650
9.7292,-139.0208,26.5850
9.7292,-138.9792,26.8150
9.7292,-138.9375,26.8500
9.7292,-138.8958,26.6700
9.7292,-138.8542,26.7500
9.7292,-138.8125,26.7050
9.7292,-138.7708,26.4400
9.7292,-138.7292,26.6000
9.7292,-138.6875,26.3250
9.7292,-138.6458,26.2100
9.7292,-138.6042,26.1300
9.7292,-138.5625,26.4500
9.7292,-138.5208,26.3550
9.7292,-138.4792,26.3550
9.7292,-138.4375,26.3650
9.7292,-138.3958,26.4600
9.7292,-138.3542,26.5400
9.7292,-138.3125,26.3050
9.7292,-138.2708,26.4250
9.7292,-138.2292,26.4600
9.7292,-138.1875,26.4550
9.7292,-138.1458,26.5350
9.7292,-138.1042,26.5500
9.7292,-138.0625,26.6150
9.7292,-138.0208,26.5750
9.7292,-137.9792,26.5450
9.7292,-137.9375,26.5900
9.7292,-137.8958,26.5850
9.7292,-137.8542,26.5850
9.7292,-137.8125,26.5650
9.7292,-137.7708,26.7150
9.7292,-137.7292,26.9250
9.7292,-137.6875,26.9100
9.7292,-137.6458,26.8200
9.7292,-136.2292,26.1500
9.7292,-136.1875,26.0350
9.7292,-136.1458,26.4400
9.7292,-136.1042,26.5050
9.7292,-136.0625,26.4800
9.7292,-136.0208,26.9500
9.7292,-135.9792,27.0050
9.7292,-135.9375,25.7400
9.7292,-135.8542,26.6650
9.7292,-135.8125,26.6000
9.7292,-135.7708,26.4450
9.7292,-135.7292,26.4050
9.7292,-134.0208,26.4500
9.7292,-133.9792,26.4500
9.7292,-131.7708,27.3100
9.7292,-131.7292,27.3100
9.7292,-128.8542,26.6300
9.7292,-128.8125,26.6300
9.7292,-122.2708,27.7900
9.7292,-122.2292,27.7650
9.7292,-122.1875,27.5650
9.7292,-122.1458,27.5200
9.7292,-121.6458,28.0050
9.7292,-121.6042,27.9650
9.7292,-121.5625,27.9800
9.7292,-121.5208,27.3350
9.7292,-121.4792,27.8900
9.7292,-121.4375,28.0900
9.7292,-121.3958,28.2400
